source_doc_id,source_path,source_type,entity_type,entity_id,linked_table,linked_column,link_method,confidence,is_public_safe,notes
AW-MN-001_arcwave_proview_27_4k,super-ai-engineer-season-6-fah-mai-the-finale/docs/l1_kb/products/AW-MN-001_arcwave_proview_27_4k.md,doc_l1_kb_products,sku,AW-MN-001,DIM_PRODUCT,sku_id,exact_id,1.00,true,matched_token=AW-MN-001
CHAT-LO-2024-01-02-2f12d5,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-02-2f12d5.md,doc_chat_line_oa,customer,CUST-L3-B2B-003100,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-003100
CHAT-LO-2024-01-02-cad27b,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-02-cad27b.md,doc_chat_line_oa,customer,CUST-L3-B2B-012100,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-012100
CHAT-LO-2024-01-04-652566,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-04-652566.md,doc_chat_line_oa,customer,CUST-L3-B2B-018700,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-018700
CHAT-LO-2024-01-11-d02d08,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-11-d02d08.md,doc_chat_line_oa,customer,CUST-L3-B2B-003100,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-003100
CHAT-LO-2024-01-13-894bf6,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-13-894bf6.md,doc_chat_line_oa,customer,CUST-L3-B2B-011900,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-011900
CHAT-LO-2024-01-15-62569e,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-15-62569e.md,doc_chat_line_oa,customer,CUST-L3-B2B-015200,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-015200
CHAT-LO-2024-01-17-3ae4c0,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-17-3ae4c0.md,doc_chat_line_oa,customer,CUST-L3-B2B-010300,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-010300
CHAT-LO-2024-01-20-a65939,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-20-a65939.md,doc_chat_line_oa,customer,CUST-L3-B2B-014400,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-014400
CHAT-LO-2024-01-20-c4e50a,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-20-c4e50a.md,doc_chat_line_oa,customer,CUST-L3-B2B-005000,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-005000
CHAT-LO-2024-01-21-36c264,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-21-36c264.md,doc_chat_line_oa,customer,CUST-L3-B2B-021700,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-021700
CHAT-LO-2024-01-24-aed2a5,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-24-aed2a5.md,doc_chat_line_oa,customer,CUST-L3-B2B-004200,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-004200
CHAT-LO-2024-01-31-fae34f,super-ai-engineer-season-6-fah-mai-the-finale/docs/chat_line_oa/CHAT-LO-2024-01-31-fae34f.md,doc_chat_line_oa,customer,CUST-L3-B2B-023600,DIM_CUSTOMER,customer_id,exact_id,1.00,true,matched_token=CUST-L3-B2B-023600
