sales_deposit_batch_id,business_event_date,branch_code,payment_method,txn_count,net_total_thb,settlement_bank_txn_id,bank_amount_thb,reconciliation_status
BKK-CTW|2024-01-01|cash,2024-01-01,BKK-CTW,cash,7,178800.00,BT-202401-697221285090,178800.00,matched
BKK-CTW|2024-01-01|credit_card,2024-01-01,BKK-CTW,credit_card,5,202100.00,BT-202401-273142381337,202100.00,matched
BKK-CTW|2024-01-01|debit_card,2024-01-01,BKK-CTW,debit_card,1,85800.00,BT-202401-638590430389,85800.00,matched
BKK-CTW|2024-01-01|mobile_wallet,2024-01-01,BKK-CTW,mobile_wallet,2,171400.00,BT-202401-742089261176,171400.00,matched
BKK-CTW|2024-01-02|cash,2024-01-02,BKK-CTW,cash,4,25200.00,BT-202401-886799860411,25200.00,matched
BKK-CTW|2024-01-02|credit_card,2024-01-02,BKK-CTW,credit_card,3,46300.00,BT-202401-817457723615,46300.00,matched
BKK-CTW|2024-01-02|debit_card,2024-01-02,BKK-CTW,debit_card,1,18900.00,BT-202401-795696664332,18900.00,matched
BKK-CTW|2024-01-02|mobile_wallet,2024-01-02,BKK-CTW,mobile_wallet,2,131600.00,BT-202401-184870054584,131600.00,matched
BKK-CTW|2024-01-03|cash,2024-01-03,BKK-CTW,cash,5,272200.00,BT-202401-1067874195367,272200.00,matched
BKK-CTW|2024-01-03|credit_card,2024-01-03,BKK-CTW,credit_card,4,183700.00,BT-202401-401006571973,183700.00,matched
BKK-CTW|2024-01-03|debit_card,2024-01-03,BKK-CTW,debit_card,2,171500.00,BT-202401-786204954971,171500.00,matched
BKK-CTW|2024-01-04|cash,2024-01-04,BKK-CTW,cash,4,65500.00,BT-202401-834515237373,65500.00,matched
BKK-CTW|2024-01-04|credit_card,2024-01-04,BKK-CTW,credit_card,5,257800.00,BT-202401-895993377294,257800.00,matched
BKK-CTW|2024-01-04|debit_card,2024-01-04,BKK-CTW,debit_card,4,52100.00,BT-202401-924174714064,52100.00,matched
BKK-CTW|2024-01-04|mobile_wallet,2024-01-04,BKK-CTW,mobile_wallet,2,21400.00,BT-202401-51181493741,21400.00,matched
BKK-CTW|2024-01-05|cash,2024-01-05,BKK-CTW,cash,2,25800.00,BT-202401-403297293375,25800.00,matched
BKK-CTW|2024-01-05|credit_card,2024-01-05,BKK-CTW,credit_card,7,313200.00,BT-202401-251246924633,313200.00,matched
BKK-CTW|2024-01-05|debit_card,2024-01-05,BKK-CTW,debit_card,2,85800.00,BT-202401-938127693931,85800.00,matched
